Title,Category,Url,Image,Author,Description,Date,Page,label
bantuan bi senilai rp juta pelaku umkm,Berita Kominfo,https://www.kominfo.go.id/content/detail/55906/awas-hoaks-bantuan-bi-senilai-rp125-juta-untuk-pelaku-umkm/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-bank-indonesia-gulirkan-bantuan-senilai-rp125-juta-untuk-umkm_0.jpg,srii003,jakarta pusat kominfo beredar pesan berantai aplikasi percakapan instan whatsapp bantuan senilai rp juta bank indonesia bi pelaku usaha mikro menengah umkm konon pesan bantuan sosial banso produktif cair dibagikan juta orang pelaku umkm faktanya klaim beredar hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta antaranewscom bi bantahan klaim pesan akun instagram resmi bankindonesia bi lembaga penyalur banso instansi menyalurkan banso masyarakat diimbau bersikap waspada modu penipuan beredar media sosial laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo minggu,04-2024,4,1
unhcr terjerat keimigrasian,Berita Kominfo,https://www.kominfo.go.id/content/detail/55891/unhcr-terjerat-keimigrasian-itu-hoaks/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-bank-indonesia-gulirkan-bantuan-senilai-rp125-juta-untuk-umkm_0.jpg,doni003,jakarta pusat kominfo beredar konten unggahan video media sosial instagram perbincangan warganet unggahan informasi unit nation high commission for refuge unchr terancam terjerat undangundang uu nomor keimigrasian uu keimigrasian melindungi pengungsi rohingya unggahan video kutipan pasal uu keimigrasian disertai tagar tolakrohingiyadiindonesia bubarkanunchrindonesia hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta cekfaktatempoco klaim beredar uu keimigrasian menjerat unhcr pengungsi rohingya imigran ileg diselundupkan pemerintah republik indonesia menjalin kerja unhcr keberadaan unhcr indonesia diatur peraturan presiden perpr nomor ditandatangani presiden joko widodo pengungsi negeri indonesia laporan harian isu disinformasi misinformasi diidentifikasi tim ai kementerian kominfo sabtu,04-2024,4,1
lowongan pekerjaan onlin,Berita Kominfo,https://www.kominfo.go.id/content/detail/55878/awas-hoaks-lowongan-pekerjaan-online/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-unhcr-terancam-terjereat-uu-keimigrasian-lindungi-pengungsi-rohingya_0.jpg,srii003,jakarta pusat kominfo beredar pesan berantai aplikasi percakapan instan whatsapp menawarkan pekerjaan onlin pengirim pesan mencatut situ pencarian kerja ternama pesan perusahaan detail pekerjaan ditawarkan faktanya klaim unggahan hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta turnbackhoaxid modu penipuan ramai beredar menawarkan pekerjaan freelanc paruh konon modu penipuan korban mengirimkan uang diimingimingi keuntungan berlipat pakar keamanan siber alfon tanujaya langsung menolak memblokir nomor menawarkan pekerjaan onlin media sosial laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo jumat,04-2024,4,1
kominfo antisipasi gangguan sfr mudik lebaran bali,Berita Kominfo,https://www.kominfo.go.id/content/detail/55876/kominfo-antisipasi-gangguan-sfr-saat-mudik-lebaran-di-bali/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-lowongan-pekerjaan-online_0.jpg,Irso,denpasar kominfo kementerian komunikasi informatika antisipasi peningkatan penggunaan spektrum frekuensi radio liburan idulfitri h kepala balai monitor spektrum frekuensi radio kela i denpasar ditjen sumber daya perangkat po informatika kementerian kominfo zainullah manan upaya kelancaran komunikasi keselamatan masyarakat lebaran wilayah provinsi bali menggelar posko monitor layanan gangguan spektrum frekuensi radio tanggal april denpasar bali jumat kabalmon zainullah manan pemantauan pengawasan intensif titik monitor strategi rute utama linta masyarakat pemudik musim liburan lebaran foku utama pengawasan balmon denpasar penggunaan spektrum frekuensi radio pitapita frekuensi radio marabahaya transportasi penerbangan darat laut sarana komunikasi masyarakat frekuensi selul balmon sfr kela i denpasar menjalin kerjasama koordinasi instansi organisasi terkait kelancaran penggunaan alat perangkat telekomunikasi frekuensi radio musim liburan lebaran tim pengendali frekuensi radio balai monitor spektrum frekuensi radio kela i denpasar dikerahkan monitor fix station tersebar wilayah provinsi bali mobil kelancaran komunikasi areaarea foku utama aru mudik aru musim liburan kabalmon zainullah manan potensi gangguan frekuensi radio dideteksi cepat ditangani efisien meminimalkan dampaknya kelancaran komunikasi period langkahlangkah komitmen menjaga keselamatan kenyamanan masyarakat perayaan raya idulfitri provinsi bali kabalmon sfr kela i denpasar hasil pemantauan monitor penggunaan pemanfaatan pita frekuensi dimonitor mengalami gangguan signifikan berlangsungnya posko balai monitor spektrum frekuensi radio kela i denpasar menerima laporan aduan gangguan frekuensi radio masyarakat portal nomor layanan whatsapp balmon denpasar mediamedia mempercepat pengiriman informasi bertujuan penanganan cepat efektif gangguan frekuensi radio terdeteksi,04-2024,4,1
berita foto menkominfo gelar griya rumah dina widya chandra,Berita Kominfo,https://www.kominfo.go.id/content/detail/55853/berita-foto-menkominfo-gelar-griya-di-rumah-dinas-widya-chandra/0/berita_satker,https://web.kominfo.go.id/sites/default/files/20240412171829-DJI_20240409095613_0014_D.jpeg,srii003,jakarta selatan kominfo menteri komunikasi informatika budi ari setiadi zara murzandina mengadakan gelar griya open hous idulfitri h rumah dina komplek widya chandra jakarta selatan rabu gelar griya hadir wamenkominfo nezar patria siti murtiningsih hadir sekretari jender mira tayyiba direktur jender penyelenggaraan po informatika wayan toni supriyanto,04-2024,4,1
gempabumi magnitudo guncang labuan bajo,Berita Kominfo,https://www.kominfo.go.id/content/detail/55844/gempabumi-magnitudo-98-guncang-labuan-bajo-itu-hoaks/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-gempa-berkekuatan-magnitudo-9-guncang-labuan-bajo_0.jpg,doni003,jakarta pusat kominfo beredar konten unggahan video berdurasi menit detik platform youtub konon video wilayah labuan bajo kabupaten manggarai barat provinsi nusa tenggara timur ntt diguncang gempabumi berkekuatan magnitudo keluku gambar gedunggedung hancur disertai narasi labuan bajo ambla gempa magnitud guncang wilayah labuan bajo hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta klaim beredar narasi dibacakan narat artikel dirili newsokezonecom april artikel terkait gempa berkekuatan magnitudo mengguncang wilayah labuan bajo april ditemukan informasi kredibel terkait klaim beredar laporan harian isu disinformasi misinformasi diidentifikasi tim ai kementerian kominfo selasa,04-2024,5,1
give away dpkp kota bandung,Berita Kominfo,https://www.kominfo.go.id/content/detail/55835/awas-hoaks-give-away-dpkp-kota-bandung/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-gempa-berkekuatan-magnitudo-9-guncang-labuan-bajo_0.jpg,srii003,jakarta pusat kominfo beredar konten unggahan media sosial instagram berisi informasi dina perumahan kawasan permukiman dpkp kota bandung mengadakan give away iphon faktanya klaim beredar hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta laman instagram resmi milik dina komunikasi informatika kota bandung diskominfobdg akun resmi informasi pemerintah kota bandung mengimbau masyarakat menanggapi berhatihati akun mengatasnamakan dpkp kota bandung laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo senin,04-2024,5,1
bi banso produktif pelaku umkm,Berita Kominfo,https://www.kominfo.go.id/content/detail/55829/bi-beri-bansos-produktif-untuk-pelaku-umkm-itu-hoaks/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-give-away-mengatasnamakan-dinas-perumahan-dan-kawasan-permukiman-kota-bandung_0.jpg,doni003,jakarta pusat kominfo beredar konten berisi informasi pemberian bantuan sosial banso produktif pelaku usaha mikro menengah umkm mengatasnamakan bank indonesia hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta akun instagram resmi bankindonesia bank indonesia lembaga penyalur banso produktif informasi beredar bank indonesia instansi organisasi pemberian banso produktif masyarakat diimbau senantiasa berhatihati informasi apapun mengatasnamakan bank indonesia laporan harian isu disinformasi misinformasi diidentifikasi tim ai kementerian kominfo minggu,04-2024,5,1
antr pelabuhan gilimanuk april,Berita Kominfo,https://www.kominfo.go.id/content/detail/55802/awas-hoaks-antre-panjang-di-pelabuhan-gilimanuk-awal-april-2024/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-hoaks-misinformasi-disinformasi-bansos-prpduktif-bi-utk-umkm%20(1).jpg,srii003,jakarta pusat kominfo beredar konten unggahan video media sosial tiktok informasi situasi pelabuhan gilimanuk provinsi bali mengalami kemacetan km tanggal april hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta akun instagram resmi poldabali klaim video antrean kepala bidang huma polda bali komisari polisi jensen aviatu panjaitan berdasarkan pantauan situasi aru linta pelabuhan gilimanuk april lancar antrian kendaraan km beredar media sosial jensen aviatu panjaitan mengimbau masyarakat pulang mudik pelabuhan gilimanuk mudah percaya informasi media sosial laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo sabtu,04-2024,5,1
pasang ring ramuan bawang putih,Berita Kominfo,https://www.kominfo.go.id/content/detail/55793/tak-perlu-pasang-ring-cukup-ramuan-bawang-putih-itu-hoaks/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-video-antrian-panjang-sejauh-13-km-di-pelabuhan-gilimanuk-pada-4-april-2024_0.jpg,doni003,jakarta pusat kominfo beredar konten video aplikasi pesan instan whatsapp narasi klaim ramuan bawang putih pasien jantung memasang ring jantung hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta klaim dokter spesiali jantung dr vito anggarino damay spjp k mke fiha fica pasiennya pasang ring jantung menjalani metod bypass operasi bedah jantung terbuka alasannya penyempitan dialami pasien parah mengonsumsi ramuan bawang putih rutin dikutip laman resmi kementerian kesehatan konsumsi bawang putih siung menurunkan tekanan darah sistolik penilaian risiko penyakit jantung kardiovaskular komponen bergantung sepenuhnya bawang putih laporan harian isu disinformasi misinformasi diidentifikasi tim ai kementerian kominfo jumat,04-2024,5,1
bi layani penukaran uang idulfitri,Berita Kominfo,https://www.kominfo.go.id/content/detail/55785/awas-hoaks-bi-tak-layani-penukaran-uang-baru-idulfitri-tahun-ini/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-bank-indonesia-tidak-melayani-penukaran-uang-baru-untuk-idulfitri-2024_0.jpg,srii003,jakarta pusat kominfo beredar informasi media sosial facebook bank indonesia bi melayani penukaran uang raya idulfitri h faktanya klaim hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta kompascom narasi bi melayani penukaran uang idulfitri h direktur eksekutif departemen pengelolaan uang bi marlison hakim bi menyediakan penukaran uang kebutuhan lebaran rp miliar uang layak edar disiapkan titik layanan penukaran uang indonesia menurutnya uang diedarkan period ramadan lebaran layanan ka kelil penukaran uang bank uang layak edar laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo kami,04-2024,6,1
lumpur mengandung ga wilayah konstruksi ikn,Berita Kominfo,https://www.kominfo.go.id/content/detail/55754/awas-hoaks-ada-lumpur-mengandung-gas-di-wilayah-konstruksi-ikn/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-bank-indonesia-tidak-melayani-penukaran-uang-baru-untuk-idulfitri-2024_0.jpg,doni003,jakarta pusat kominfo beredar konten video platform media sosial instagram perbincangan warganet konon unggahan disertai keterangan keberadaan lumpur mengandung ga wilayah konstruksi kota nusantara ikn hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta antaranewscom ketua satga pelaksanaan pembangunan infrastruktur ikn dani h sumadilaga dani sumadilaga laporan hasil pengecekan langsung lapangan ditemukan lumpur mengandung ga wilayah konstruksi ikn deputi sarana prasarana ikn silvia halim unggahan video kegiatan pembangunan berjalan laporan harian isu disinformasi misinformasi diidentifikasi tim ai kementerian kominfo rabu,04-2024,6,1
